customer_id,customer_payment,customer_balance
2c6e7b33-7815-4a8e-a6bd-5e8608eef1ff,,50000
f21dd1e3-e018-4cde-b3a7-3d58ba27772a,,50000
d55b433b-79f0-4a9d-84de-66e8381e2502,,50000
fdd1b77e-8de1-4210-9116-bcabc5797b1d,,50000
832cb42a-3c37-4b07-8977-82408ed7d70c,,50000
66535083-50ca-46b0-91c5-0263adcb6570,,50000
b921acb5-4fb3-4029-b433-779922dee50f,,50000
b81582d0-e069-446e-9ac1-e01d8c925128,,50000
f39d103a-75db-4f0c-aeda-3794edbc6768,,50000
57a608a8-2e94-43b1-9006-e51dd86fb38d,,50000
ed585b0c-aa75-4a4f-afc3-b625db7dc99e,,50000
d1142c25-6eed-4bfd-a9fe-f71134c91652,,50000
fc0f0ccf-cd47-4ff7-8374-0be07bc57c65,,50000
4dff0ae8-b012-486a-8386-cb1179245490,,50000
8cbd73bb-284f-48a5-80cc-abd87d259367,,50000
aa92692d-ced1-4905-9a2b-adc22f0a356c,,50000
c52f8707-fba9-4da7-9ed2-9b1067a5619a,,50000
9e594828-4a80-4504-8236-636862ae2e47,,50000
a0f39386-9a8a-4aeb-9301-7edbf3de47a6,,50000
da77c74f-28d1-4e22-b5a5-3f40e3e5f6b4,,50000
7fb911f2-41d1-43e4-8834-e66ec989a9d4,,50000
447bade2-e78d-47ec-b34c-3be139185dc3,,50000
1659f5ef-d0a2-4316-afa2-d76fa60a91d5,,50000
200488ae-e44c-4ebe-9280-ea3a40652fc8,,50000
1f137f91-fa50-4fe2-856e-fee19e0eea7d,,50000
4c9b3789-c819-4215-8914-b1f64e75814b,,50000
576afa35-40f3-47e7-b9e3-d505deea79aa,,50000
039820e1-bd1c-44d1-b962-cb0e7df24c20,,50000
0443c298-a07d-4073-8dc1-bd09f7010334,,50000
d2c12209-2c7e-4d69-af96-ae6a041e05fa,,50000
test,,50000
admin,,50000
tadmin,,50000
a0fdd820-67a7-4868-823a-9f7bcdca1dbd,,50000
c5f5988f-99f2-481e-afa3-03931a9ea02d,,50000
5d2ff422-c5fc-4a2f-bb6e-f3e4476f6f49,,50000
33ef8948-82b4-42a1-a221-04c42daf4764,,50000
544319c5-8f03-44cf-9b00-991d0d9f9b0c,,50000
